Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
AAPL,06/30/17,0.32,,0.27,,0.31,put,142,34,0.1967,-0.0811,1.7676,6.4819,,137,153.18,06/1/17
AAPL,06/30/17,0.07,,0.03,,0.07,put,129,0,0.288,-0.0154,0.3116,1.6729,,5,153.18,06/1/17
AAPL,06/30/17,0.27,,0.23,,0.29,put,141,16,0.2022,-0.0686,1.5152,5.7099,,2092,153.18,06/1/17
AAPL,06/30/17,0.12,,0.08,,0.11,put,134,1,0.2533,-0.0279,0.5861,2.767,,19,153.18,06/1/17
AAPL,06/30/17,9.9,,9.35,,9.85,put,162.5,0,0.1933,-0.8539,2.7451,9.8885,,4,153.18,06/1/17
AAPL,06/30/17,0.04,,0,,0.04,put,120,0,0.3641,-0.0075,0.1318,0.8947,,4,153.18,06/1/17
AAPL,07/7/17,1.04,,0.92,,1.04,put,147,25,0.1726,-0.2143,3.5133,14.0288,,140,153.18,06/1/17
AAPL,07/7/17,0.29,,0.18,,0.29,put,139,27,0.2088,-0.0645,1.255,6.0634,,38,153.18,06/1/17
AAPL,07/7/17,0.44,,0.35,,0.48,put,142,0,0.1921,-0.0984,1.8772,8.3427,,30,153.18,06/1/17
AAPL,07/7/17,0.86,,0.76,,0.94,put,146,15,0.1751,-0.1827,3.1448,12.741,,105,153.18,06/1/17
AAPL,07/7/17,0.19,,0.09,,0.14,put,135,0,0.2357,-0.0403,0.765,4.1728,,7,153.18,06/1/17
AAPL,07/7/17,0.26,,0.15,,0.26,put,138,0,0.2156,-0.0572,1.1062,5.5192,,29,153.18,06/1/17
AAPL,07/7/17,0.74,,0.63,,0.78,put,145,20,0.1804,-0.1583,2.7844,11.6237,,58,153.18,06/1/17
AAPL,07/7/17,7.85,,7.3,,7,put,160,0,0.176,-0.7753,3.5412,14.4174,,2,153.18,06/1/17
AAPL,07/7/17,0.61,,0.51,,0.7,put,144,1,0.1831,-0.1339,2.452,10.3861,,41,153.18,06/1/17
AAPL,07/7/17,1.79,,1.63,,1.78,put,150,58,0.1654,-0.3319,4.5631,17.4602,,260,153.18,06/1/17
AAPL,07/7/17,0.05,,0,,0.04,put,115,0,0.3878,-0.0078,0.1152,1.0335,,2,153.18,06/1/17
AAPL,07/7/17,12.45,,11.75,,12.05,put,165,0,0.2085,-0.8641,2.1751,10.4934,,1,153.18,06/1/17
AAPL,07/7/17,2.74,,2.53,,2.71,put,152.5,41,0.1612,-0.453,5.1096,19.0569,,143,153.18,06/1/17
AAPL,07/7/17,5.8,,5.4,,5.75,put,157.5,20,0.1653,-0.6932,4.416,16.8928,,3,153.18,06/1/17
AAPL,07/7/17,0.34,,0.23,,0.34,put,140,20,0.2044,-0.0752,1.4435,6.8261,,122,153.18,06/1/17
